file,model,topo,load,scenario,t1_bytes,t1_kb,t2_bytes,t2_kb,avg_fct,flow_count,skipped_lines
fct_topo1_search_load0.6_incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100_t1102400_t21024000.txt,search,1,0.6,incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100,102400,100.0,1024000,1000.0,1160393.257880543,22619,0
fct_topo1_search_load0.6_incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100_t1102400_t21280000.txt,search,1,0.6,incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100,102400,100.0,1280000,1250.0,1170796.8606923383,22619,0
fct_topo1_search_load0.6_incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100_t1102400_t21536000.txt,search,1,0.6,incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100,102400,100.0,1536000,1500.0,1160480.1088907556,22619,0
fct_topo1_search_load0.6_incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100_t1102400_t2512000.txt,search,1,0.6,incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100,102400,100.0,512000,500.0,1149344.244971042,22619,0
fct_topo1_search_load0.6_incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100_t1102400_t2768000.txt,search,1,0.6,incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100,102400,100.0,768000,750.0,1153363.5787612183,22619,0
fct_topo1_search_load0.7_incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100_t1102400_t21024000.txt,search,1,0.7,incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100,102400,100.0,1024000,1000.0,1550551.0740614336,26370,0
fct_topo1_search_load0.7_incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100_t1102400_t21280000.txt,search,1,0.7,incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100,102400,100.0,1280000,1250.0,1555220.7669700417,26370,0
fct_topo1_search_load0.7_incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100_t1102400_t21536000.txt,search,1,0.7,incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100,102400,100.0,1536000,1500.0,1559972.3204778158,26370,0
fct_topo1_search_load0.7_incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100_t1102400_t2512000.txt,search,1,0.7,incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100,102400,100.0,512000,500.0,1539890.887258248,26370,0
fct_topo1_search_load0.7_incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100_t1102400_t2768000.txt,search,1,0.7,incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100,102400,100.0,768000,750.0,1549784.8581721652,26370,0
fct_topo1_search_load0.8_incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100_t1102400_t21024000.txt,search,1,0.8,incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100,102400,100.0,1024000,1000.0,1993833.2604581674,30120,0
fct_topo1_search_load0.8_incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100_t1102400_t21280000.txt,search,1,0.8,incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100,102400,100.0,1280000,1250.0,1999381.141367862,30120,0
fct_topo1_search_load0.8_incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100_t1102400_t21536000.txt,search,1,0.8,incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100,102400,100.0,1536000,1500.0,2006920.8704183267,30120,0
fct_topo1_search_load0.8_incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100_t1102400_t2512000.txt,search,1,0.8,incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100,102400,100.0,512000,500.0,1990380.820252324,30120,0
fct_topo1_search_load0.8_incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100_t1102400_t2768000.txt,search,1,0.8,incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100,102400,100.0,768000,750.0,1979591.2970783534,30120,0
fct_topo1_search_load0.9_incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100_t1102400_t21024000.txt,search,1,0.9,incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100,102400,100.0,1024000,1000.0,2498904.718984352,33870,0
fct_topo1_search_load0.9_incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100_t1102400_t21280000.txt,search,1,0.9,incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100,102400,100.0,1280000,1250.0,2504169.0039563035,33870,0
fct_topo1_search_load0.9_incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100_t1102400_t21536000.txt,search,1,0.9,incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100,102400,100.0,1536000,1500.0,2516023.7793032182,33870,0
fct_topo1_search_load0.9_incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100_t1102400_t2512000.txt,search,1,0.9,incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100,102400,100.0,512000,500.0,2475684.9007381164,33870,0
fct_topo1_search_load0.9_incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100_t1102400_t2768000.txt,search,1,0.9,incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100,102400,100.0,768000,750.0,2491575.0263950396,33870,0
